Generator,bus,carrier,p_nom,marginal_cost,gen_MWh,share_%
Parque solar coahuila,SIN,solar,20.0,0.0,3348.9167832000003,0.009438642529423252
Munisol,SIN,solar,19.8,0.0,3315.427615368,0.009344256104129018
P.S Lunasol 1,SIN,solar,19.2,0.0,3214.960111872,0.009061096828246323
Hidroelectrica Tacotan,SIN,hydro,6.0,0.0,3031.2408682080004,0.008543299468986906
B.G Energia verde Aguascalientes,SIN,biogas,3.2,0.0,2741.7599999999993,0.007727421795397298
Bombana,SIN,hydro,5.2,0.0,2627.0754191135998,0.007404192873121983
C.H Nueva italia,SIN,hydro,5.0,0.0,2526.03405684,0.007119416224155755
Celanese mexicana cogeneracion__1,SIN,chp,13.3,29.87,2514.365,0.007086527961084898
Desarollos solares de delicias,SIN,solar,15.0,0.0,2511.6875873999998,0.0070789818970674375
Aldebaran FV,SIN,solar,15.0,0.0,2511.6875873999998,0.0070789818970674375
Cogeneracion nuevo pemex,SIN,chp,347.4,29.87,2417.8387839997827,0.006814476875159323
B.G La loma,SIN,biogas,2.8,0.0,2399.04,0.006761494070972637
Los santos solar,SIN,solar,13.6,0.0,2277.263412576,0.006418276920007811
Aeroderivadas punta prieta 1,BCS,gas_ocgt,75.2,43.16,1863.1292754638016,0.005251074408723506
Almex cogeneracion,SIN,chp,12.0,29.87,1789.8,0.00504440196421353
San Ildefonso,SIN,hydro,2.7,0.0,1364.0583906936,0.0038444847610441066
Eolica peñasco dos,SIN,onwind,3.0,0.0,1286.362611024,0.003625505688758694
Ibedrola cogeneracion bajio,SIN,chp,53.7,29.87,1187.3034227823719,0.003346315631914652
Schpoina,SIN,hydro,2.24,0.0,1131.6632574643202,0.003189498468421778
Fortius 1,SIN,solar,6.2,0.0,1038.164202792,0.0029259791841212083
Fortius 2,SIN,solar,6.2,0.0,1038.164202792,0.0029259791841212083
Abent Tercer tren,SIN,chp,275.0,29.87,998.3456592200113,0.0028137539414088033
Granjas carroll cogeneracion con biogas,SIN,biogas,1.1,0.0,942.4800000000005,0.0026563012421678234
Eolica peñasco uno,SIN,onwind,2.0,0.0,857.5750740160001,0.0024170037925057963
Ideal de sanamiento saltillo,SIN,biogas,1.0,0.0,856.7999999999997,0.0024148193110616555
Celanese mexicana cogeneracion,SIN,chp,10.0,29.87,788.5,0.0022223214598180627
Parque fotovoltaico CP,BCA,solar,5.0,0.0,629.577176718,0.001774410742463006
Ciudad PEMEX,SIN,chp,56.0,29.87,532.0,0.0014993976114435121
Cactus PEMEX,SIN,chp,54.0,29.87,513.0,0.001445847696749101
Refineria Salina cruz,SIN,chp,90.0,29.87,481.4684055410846,0.0013569785286725912
El salitre,SIN,onwind,1.0,0.0,428.7875370080001,0.0012085018962528981
Caelum renovables y energia villaldama 1,SIN,solar,2.0,0.0,334.89167832,0.0009438642529423252
Sistemas energeticos sisa,SIN,chp,60.0,29.87,171.0,0.00048194923224970034
Pajaritos 2,SIN,chp,88.8,29.87,167.6392582732925,0.0004724772621036406
F.V Solar apaseo,SIN,solar,1.0,0.0,167.44583916,0.0004719321264711626
Generacion Energia Infra,SIN,chp,145.0,29.87,137.75,0.0003882368815344808
Cog. C.S Energia,SIN,chp,1.0,29.87,78.85,0.00022223214598180623
C.C Mexicali,BCA,gas_ccgt,489.0,29.87,63.535796917999505,0.00017907034236843707
Refineria lazaro cardenas,SIN,chp,60.0,29.87,57.0,0.00016064974408323344
Complejo Petroquimico Cangrejera,SIN,chp,48.0,29.87,45.6,0.00012851979526658675
Refineria minatitlan,SIN,chp,35.0,29.87,33.25,9.371235071521951e-05
Idesa braskem,SIN,chp,175.0,29.87,31.65269637902,8.921048373392724e-05
T.G Punta prieta 1,BCS,gas_ocgt,43.0,43.16,4.116860000000031,1.1603026410991323e-05
